topic,question,answer,last,score,image
kitchen,주방,cuisine,2024-01-01,,
kitchen,레시피,recette,2024-01-01,,
kitchen,칼,couteau,2024-01-01,,
kitchen,그릇,assiette,2024-01-01,,
kitchen,전자레인지,micro-ondes,2024-01-01,,
kitchen,오븐,four,2024-01-01,,
kitchen,싱크대,évier,2024-01-01,,
kitchen,냉장고,réfrigérateur,2024-01-01,,
kitchen,냄비,poêle,2024-01-01,,
kitchen,식탁,table,2024-01-01,,
kitchen,물통,carafe,2024-01-01,,
kitchen,접시,assiette,2024-01-01,,
kitchen,그릇,bol,2024-01-01,,
kitchen,숟가락,cuillère,2024-01-01,,
kitchen,젓가락,baguettes,2024-01-01,,
kitchen,스푼,fourchette,2024-01-01,,
kitchen,생고기,viande crue,2024-01-01,,
kitchen,채소,légumes,2024-01-01,,
kitchen,쌀,riz,2024-01-01,,
kitchen,면,nouilles,2024-01-01,,
kitchen,국,soupe,2024-01-01,,
kitchen,밥,riz,2024-01-01,,
kitchen,떡,gâteau de riz,2024-01-01,,
kitchen,청소,nettoyage,2024-01-01,,
